time,balance
2025-03-01T00:00:00,15000.0
2025-03-03T12:00:00,15000.0
2025-03-04T12:00:00,15000.0
2025-03-05T00:05:36,15002.9
2025-03-05T00:05:36,15004.42
2025-03-07T16:00:00,15004.42
2025-03-10T16:00:00,15007.74
2025-03-18T20:00:00,15007.74
2025-03-20T12:00:00,15012.55
2025-03-26T20:00:01,15012.55
2025-03-28T12:00:00,15015.22
2025-04-04T08:00:02,15015.22
2025-04-07T16:00:00,15025.31
2025-04-08T08:00:00,15025.31
2025-04-08T08:00:00,15025.15
2025-04-14T16:00:00,15025.15
2025-04-21T20:00:00,15025.15
2025-04-23T20:00:00,15032.91
2025-04-23T20:00:00,15033.72
2025-04-24T12:00:00,15033.72
2025-04-24T20:00:00,15035.67
2025-05-06T04:00:00,15035.67
2025-05-07T16:00:00,15035.67
2025-05-08T00:06:14,15040.58
2025-05-08T00:06:14,15040.38
2025-05-08T04:00:00,15040.38
2025-05-08T12:00:00,15043.12
2025-05-13T04:00:00,15043.12
2025-05-14T12:00:00,15047.92
2025-05-22T04:00:00,15047.92
2025-05-26T20:00:00,15047.92
2025-05-28T08:00:00,15062.16
2025-05-28T08:00:00,15060.29
2025-05-28T12:00:00,15060.29
2025-05-28T16:00:00,15061.69
2025-06-03T08:00:00,15061.69
2025-06-05T20:00:00,15061.69
2025-06-10T08:00:00,15067.28
2025-06-10T08:00:00,15065.31
2025-06-13T08:00:00,15065.31
2025-06-17T16:00:00,15065.31
2025-06-18T00:05:57,15075.67
2025-06-18T00:05:57,15076.0
2025-06-27T20:00:00,15076.0
2025-06-30T00:07:36,15076.32
2025-07-14T12:00:01,15076.32
2025-07-15T00:05:36,15077.04
2025-07-18T12:00:00,15077.04
2025-07-18T16:00:01,15078.54
2025-07-23T16:00:01,15078.54
2025-07-25T12:00:05,15083.79
2025-08-07T20:00:00,15083.79
2025-08-11T12:00:00,15084.54
2025-08-15T16:00:00,15084.54
2025-08-18T16:00:00,15084.48
2025-08-20T16:00:00,15084.48
2025-08-22T20:00:00,15084.48
2025-08-22T20:00:00,15084.23
2025-08-22T20:00:00,15085.67
2025-08-29T16:00:00,15085.67
2025-09-02T16:00:00,15088.33
2025-09-04T20:00:00,15088.33
2025-09-05T16:00:00,15090.18
2025-09-17T08:00:00,15090.18
2025-09-19T12:00:00,15094.28
2025-09-25T08:00:00,15094.28
2025-10-03T16:00:00,15094.28
2025-10-07T04:00:00,15094.28
2025-10-07T04:00:00,15094.16
2025-10-08T16:00:00,15094.16
2025-10-10T16:00:00,15094.16
2025-10-10T16:00:00,15094.16
2025-10-14T12:00:00,15094.16
2025-10-14T16:00:00,15095.02
2025-10-14T20:00:00,15095.02
2025-10-14T20:00:00,15095.02
2025-10-20T04:00:00,15098.18
2025-10-20T04:00:00,15095.41
2025-10-21T16:00:00,15095.41
2025-10-21T20:00:00,15095.41
2025-10-22T20:00:00,15110.47
2025-10-22T20:00:00,15129.81
2025-10-22T20:00:00,15127.83
2025-10-22T20:00:00,15115.75
2025-10-22T20:00:00,15109.09
2025-10-22T20:00:00,15100.63
2025-10-24T08:00:00,15100.63
2025-10-28T12:00:00,15100.63
2025-10-30T20:00:00,15100.63
2025-10-31T12:00:00,15102.13
2025-10-31T16:00:00,15107.64
2025-10-31T16:00:00,15109.31
2025-10-31T16:00:00,15109.04
2025-11-05T20:00:00,15109.04
2025-11-07T16:00:00,15109.04
2025-11-07T16:00:00,15108.77
2025-11-07T16:00:00,15112.04
2025-11-11T04:00:00,15112.04
2025-11-18T00:05:02,15112.58
2025-11-19T16:00:00,15112.58
2025-11-19T20:00:01,15115.26
2025-11-25T16:00:00,15115.26
2025-11-26T04:00:00,15116.56
2025-12-01T20:00:00,15116.56
2025-12-04T16:00:00,15116.56
2025-12-08T20:00:00,15116.56
2025-12-12T16:00:00,15116.56
2025-12-17T08:00:00,15116.56
2025-12-29T04:00:00,15116.56
2025-12-31T12:00:01,15119.42
2026-01-05T20:00:00,15119.42
2026-01-07T04:00:00,15119.42
2026-01-07T16:00:00,15119.42
2026-01-08T00:05:07,15134.77
2026-01-08T00:05:07,15164.99
2026-01-08T00:05:07,15193.22
2026-01-08T00:05:07,15197.18
2026-01-08T00:05:07,15181.68
2026-01-08T00:05:07,15172.91
2026-01-12T04:00:00,15172.91
2026-01-16T04:00:00,15172.91
2026-01-19T08:00:00,15172.91
2026-01-20T08:00:00,15186.37
2026-01-20T08:00:00,15197.63
2026-01-20T08:00:00,15204.41
2026-01-20T08:00:00,15194.12
2026-01-20T08:00:00,15186.35
2026-01-21T12:00:00,15186.35
2026-01-23T16:00:00,15186.35
2026-01-23T16:00:00,15186.23
2026-01-26T16:00:00,15186.23
2026-01-30T04:00:00,15186.23
2026-02-02T08:00:00,15215.14
2026-02-02T08:00:00,15208.98
2026-02-02T08:00:00,15195.87
2026-02-02T12:00:00,15195.87
2026-02-02T16:00:00,15198.06
2026-02-11T16:00:00,15198.06
2026-02-12T20:00:00,15201.06
