time,balance
2025-03-01T00:00:00,15000.0
2025-03-03T12:00:00,15000.0
2025-03-03T16:00:00,15004.95
2025-03-07T00:05:16,15004.95
2025-03-13T16:00:00,15004.95
2025-03-18T16:00:00,15004.95
2025-03-21T08:00:00,15015.54
2025-03-21T08:00:00,15016.34
2025-03-21T08:00:00,15010.85
2025-03-24T12:00:00,15010.85
2025-03-27T08:00:00,15010.85
2025-03-27T20:00:00,15017.93
2025-03-27T20:00:00,15016.43
2025-03-28T04:00:00,15016.43
2025-03-31T04:00:00,15017.57
2025-04-04T04:00:00,15017.57
2025-04-04T12:00:00,15029.29
2025-04-09T04:00:00,15029.29
2025-04-10T16:00:00,15040.11
2025-04-22T04:00:00,15040.11
2025-04-23T04:00:00,15046.42
2025-05-13T16:00:00,15046.42
2025-05-14T00:06:30,15052.35
2025-05-22T12:00:00,15052.35
2025-05-26T16:00:00,15052.35
2025-05-28T08:00:01,15068.65
2025-05-28T08:00:01,15061.39
2025-05-28T12:00:00,15061.39
2025-05-28T16:00:00,15065.23
2025-06-10T12:00:00,15065.23
2025-06-11T16:00:00,15065.23
2025-06-11T20:00:00,15068.16
2025-06-13T04:00:00,15068.16
2025-06-17T20:00:00,15087.4
2025-06-17T20:00:00,15088.67
2025-06-19T16:00:00,15088.67
2025-06-23T20:00:00,15093.59
2025-06-27T04:00:00,15093.59
2025-07-02T12:00:00,15093.59
2025-07-02T12:00:00,15093.29
2025-07-02T12:00:00,15096.33
2025-07-03T12:00:00,15096.33
2025-07-08T04:00:00,15096.33
2025-07-15T12:00:00,15096.33
2025-07-21T16:00:00,15096.33
2025-07-22T20:00:00,15115.62
2025-07-22T20:00:00,15139.45
2025-07-22T20:00:00,15118.39
2025-07-22T20:00:00,15104.15
2025-07-24T12:00:00,15104.15
2025-07-25T08:00:00,15109.26
2025-07-28T16:00:00,15109.26
2025-08-01T16:00:00,15109.26
2025-08-06T04:00:00,15109.26
2025-08-06T16:00:00,15110.78
2025-08-06T20:00:00,15122.83
2025-08-06T20:00:00,15113.26
2025-08-08T16:00:00,15113.26
2025-08-14T16:00:00,15113.26
2025-08-18T20:00:00,15113.26
2025-08-18T20:00:00,15112.93
2025-08-18T20:00:00,15121.35
2025-08-18T20:00:00,15112.4
2025-08-20T12:00:00,15112.4
2025-08-22T20:00:00,15112.4
2025-08-22T20:00:00,15112.2
2025-08-22T20:00:00,15114.42
2025-09-03T12:00:00,15114.42
2025-09-05T16:00:00,15125.6
2025-09-18T04:00:00,15125.6
2025-09-18T16:00:00,15128.75
2025-09-22T12:00:00,15128.75
2025-09-26T16:00:00,15128.75
2025-09-30T20:00:02,15144.77
2025-09-30T20:00:02,15140.63
2025-10-01T04:00:11,15140.63
2025-10-01T08:00:00,15142.82
2025-10-10T20:00:00,15142.82
2025-10-15T04:00:01,15142.82
2025-10-15T12:00:06,15145.94
2025-10-15T12:00:06,15145.77
2025-10-22T20:00:00,15145.77
2025-11-05T12:00:00,15145.77
2025-11-07T20:00:00,15171.44
2025-11-07T20:00:00,15150.57
2025-11-20T12:00:00,15150.57
2025-11-25T12:00:00,15155.81
2025-11-26T12:00:00,15155.81
2025-12-03T04:00:00,15155.81
2025-12-03T08:00:03,15156.67
2025-12-05T04:00:00,15156.67
2025-12-09T16:00:00,15158.36
2025-12-09T20:00:01,15158.36
2025-12-12T12:00:00,15158.36
2025-12-12T12:00:00,15158.36
2025-12-12T20:00:01,15159.19
2025-12-17T08:00:01,15159.19
2025-12-17T12:00:00,15181.63
2025-12-17T12:00:00,15197.98
2025-12-17T12:00:00,15191.52
2025-12-17T12:00:00,15175.56
2025-12-23T20:00:00,15175.56
2025-12-31T04:00:00,15176.42
2026-01-02T16:00:00,15176.42
2026-01-05T20:00:01,15183.73
2026-01-09T16:00:00,15183.73
2026-01-12T16:00:00,15188.18
2026-01-16T16:00:00,15188.18
2026-01-20T08:00:00,15191.74
2026-01-28T08:00:00,15191.74
2026-01-30T20:00:00,15201.11
2026-02-03T08:00:00,15201.11
2026-02-06T08:00:00,15201.11
2026-02-09T16:00:00,15217.1
2026-02-09T16:00:00,15212.88
2026-02-18T08:00:00,15212.88
2026-02-20T16:00:00,15212.88
2026-02-24T20:00:00,15218.84
2026-02-24T20:00:00,15214.42
