time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:36,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,14999.86,-0.14
2025.03.03 16:00:00,15000.00,15000.96,0.96
2025.03.03 20:00:00,15000.00,15000.85,0.85
2025.03.04 00:05:02,15000.00,14995.61,-4.39
2025.03.04 04:00:00,15000.00,14995.22,-4.78
2025.03.04 08:00:00,15000.00,14995.31,-4.69
2025.03.04 12:00:00,15000.00,14999.65,-0.35
2025.03.04 16:00:00,15000.00,14994.88,-5.12
2025.03.04 20:00:00,15000.00,14978.49,-21.51
2025.03.05 00:05:31,15000.00,15004.19,4.19
2025.03.05 04:00:00,15004.42,15004.42,0.00
2025.03.05 08:00:00,15004.42,15004.42,0.00
2025.03.05 12:00:00,15004.42,15004.42,0.00
2025.03.05 16:00:00,15004.42,15004.42,0.00
2025.03.05 20:00:00,15004.42,15004.42,0.00
2025.03.06 00:05:02,15004.42,15004.42,0.00
2025.03.06 04:00:00,15004.42,15004.42,0.00
2025.03.06 08:00:00,15004.42,15004.42,0.00
2025.03.06 12:00:01,15004.42,15004.42,0.00
2025.03.06 16:00:00,15004.42,15004.42,0.00
2025.03.06 20:00:00,15004.42,15004.42,0.00
2025.03.07 00:05:05,15004.42,15004.42,0.00
2025.03.07 04:00:00,15004.42,15004.42,0.00
2025.03.07 08:00:00,15004.42,15004.42,0.00
2025.03.07 12:00:01,15004.42,15004.42,0.00
2025.03.07 16:00:00,15004.42,15004.28,-0.14
2025.03.07 20:00:00,15004.42,15005.70,1.28
2025.03.10 00:00:00,15004.42,15004.88,0.46
2025.03.10 04:00:00,15004.42,15003.69,-0.73
2025.03.10 08:00:00,15004.42,15003.94,-0.48
2025.03.10 12:00:00,15004.42,15003.41,-1.01
2025.03.10 16:00:00,15004.42,15007.76,3.34
2025.03.10 20:00:00,15007.74,15007.74,0.00
2025.03.11 00:00:00,15007.74,15007.74,0.00
2025.03.11 04:00:01,15007.74,15007.74,0.00
2025.03.11 08:00:00,15007.74,15007.74,0.00
2025.03.11 12:00:00,15007.74,15007.74,0.00
2025.03.11 16:00:00,15007.74,15007.74,0.00
2025.03.11 20:00:00,15007.74,15007.74,0.00
2025.03.12 00:00:00,15007.74,15007.74,0.00
2025.03.12 04:00:00,15007.74,15007.74,0.00
2025.03.12 08:00:00,15007.74,15007.74,0.00
2025.03.12 12:00:00,15007.74,15007.74,0.00
2025.03.12 16:00:00,15007.74,15007.74,0.00
2025.03.12 20:00:00,15007.74,15007.74,0.00
2025.03.13 00:00:00,15007.74,15007.74,0.00
2025.03.13 04:00:01,15007.74,15007.74,0.00
2025.03.13 08:00:00,15007.74,15007.74,0.00
2025.03.13 12:00:00,15007.74,15007.74,0.00
2025.03.13 16:00:00,15007.74,15007.74,0.00
2025.03.13 20:00:00,15007.74,15007.74,0.00
2025.03.14 00:00:00,15007.74,15007.74,0.00
2025.03.14 04:00:00,15007.74,15007.74,0.00
2025.03.14 08:00:00,15007.74,15007.74,0.00
2025.03.14 12:00:00,15007.74,15007.74,0.00
2025.03.14 16:00:00,15007.74,15007.74,0.00
2025.03.14 20:00:00,15007.74,15007.74,0.00
2025.03.17 00:00:00,15007.74,15007.74,0.00
2025.03.17 04:00:00,15007.74,15007.74,0.00
2025.03.17 08:00:00,15007.74,15007.74,0.00
2025.03.17 12:00:00,15007.74,15007.74,0.00
2025.03.17 16:00:00,15007.74,15007.74,0.00
2025.03.17 20:00:00,15007.74,15007.74,0.00
2025.03.18 00:00:00,15007.74,15007.74,0.00
2025.03.18 04:00:01,15007.74,15007.74,0.00
2025.03.18 08:00:00,15007.74,15007.74,0.00
2025.03.18 12:00:00,15007.74,15007.74,0.00
2025.03.18 16:00:00,15007.74,15007.74,0.00
2025.03.18 20:00:00,15007.74,15007.63,-0.11
2025.03.19 00:00:00,15007.74,15007.45,-0.29
2025.03.19 04:00:00,15007.74,15007.78,0.04
2025.03.19 08:00:00,15007.74,15008.13,0.39
2025.03.19 12:00:00,15007.74,15008.98,1.24
2025.03.19 16:00:00,15007.74,15008.60,0.86
2025.03.19 20:00:00,15007.74,15009.54,1.80
2025.03.20 00:00:00,15007.74,15008.73,0.99
2025.03.20 04:00:00,15007.74,15009.78,2.04
2025.03.20 08:00:00,15007.74,15009.75,2.01
2025.03.20 12:00:00,15007.74,15012.54,4.80
2025.03.20 16:00:00,15012.55,15012.55,0.00
2025.03.20 20:00:00,15012.55,15012.55,0.00
2025.03.21 00:00:00,15012.55,15012.55,0.00
2025.03.21 04:00:00,15012.55,15012.55,0.00
2025.03.21 08:00:00,15012.55,15012.55,0.00
2025.03.21 12:00:00,15012.55,15012.55,0.00
2025.03.21 16:00:00,15012.55,15012.55,0.00
2025.03.21 20:00:00,15012.55,15012.55,0.00
2025.03.24 00:00:00,15012.55,15012.55,0.00
2025.03.24 04:00:01,15012.55,15012.55,0.00
2025.03.24 08:00:00,15012.55,15012.55,0.00
2025.03.24 12:00:00,15012.55,15012.55,0.00
2025.03.24 16:00:00,15012.55,15012.55,0.00
2025.03.24 20:00:00,15012.55,15012.55,0.00
2025.03.25 00:00:00,15012.55,15012.55,0.00
2025.03.25 04:00:00,15012.55,15012.55,0.00
2025.03.25 08:00:00,15012.55,15012.55,0.00
2025.03.25 12:00:00,15012.55,15012.55,0.00
2025.03.25 16:00:00,15012.55,15012.55,0.00
2025.03.25 20:00:00,15012.55,15012.55,0.00
2025.03.26 00:00:00,15012.55,15012.55,0.00
2025.03.26 04:00:00,15012.55,15012.55,0.00
2025.03.26 08:00:00,15012.55,15012.55,0.00
2025.03.26 12:00:00,15012.55,15012.55,0.00
2025.03.26 16:00:00,15012.55,15012.55,0.00
2025.03.26 20:00:01,15012.55,15012.42,-0.13
2025.03.27 00:00:00,15012.55,15013.48,0.93
2025.03.27 04:00:01,15012.55,15012.05,-0.50
2025.03.27 08:00:00,15012.55,15011.68,-0.87
2025.03.27 12:00:00,15012.55,15012.47,-0.08
2025.03.27 16:00:00,15012.55,15014.31,1.76
2025.03.27 20:00:00,15012.55,15014.51,1.96
2025.03.28 00:00:00,15012.55,15013.72,1.17
2025.03.28 04:00:00,15012.55,15014.43,1.88
2025.03.28 08:00:00,15012.55,15014.23,1.68
2025.03.28 12:00:00,15012.55,15015.23,2.68
2025.03.28 16:00:00,15015.22,15015.22,0.00
2025.03.28 20:00:00,15015.22,15015.22,0.00
2025.03.31 00:05:01,15015.22,15015.22,0.00
2025.03.31 04:00:00,15015.22,15015.22,0.00
2025.03.31 08:00:00,15015.22,15015.22,0.00
2025.03.31 12:00:00,15015.22,15015.22,0.00
2025.03.31 16:00:01,15015.22,15015.22,0.00
2025.03.31 20:00:00,15015.22,15015.22,0.00
2025.04.01 00:05:08,15015.22,15015.22,0.00
2025.04.01 04:00:00,15015.22,15015.22,0.00
2025.04.01 08:00:00,15015.22,15015.22,0.00
2025.04.01 12:00:00,15015.22,15015.22,0.00
2025.04.01 16:00:00,15015.22,15015.22,0.00
2025.04.01 20:00:00,15015.22,15015.22,0.00
2025.04.02 00:05:01,15015.22,15015.22,0.00
2025.04.02 04:00:00,15015.22,15015.22,0.00
2025.04.02 08:00:00,15015.22,15015.22,0.00
2025.04.02 12:00:04,15015.22,15015.22,0.00
2025.04.02 16:00:00,15015.22,15015.22,0.00
2025.04.02 20:00:00,15015.22,15015.22,0.00
2025.04.03 00:05:01,15015.22,15015.22,0.00
2025.04.03 04:00:00,15015.22,15015.22,0.00
2025.04.03 08:00:00,15015.22,15015.22,0.00
2025.04.03 12:00:00,15015.22,15015.22,0.00
2025.04.03 16:00:00,15015.22,15015.22,0.00
2025.04.03 20:00:00,15015.22,15015.22,0.00
2025.04.04 00:05:00,15015.22,15015.22,0.00
2025.04.04 04:00:00,15015.22,15015.22,0.00
2025.04.04 08:00:02,15015.22,15015.08,-0.14
2025.04.04 12:00:00,15015.22,15017.26,2.04
2025.04.04 16:00:00,15015.22,15022.65,7.43
2025.04.04 20:00:00,15015.22,15022.81,7.59
2025.04.07 00:20:00,15015.22,15024.98,9.76
2025.04.07 04:00:00,15015.22,15024.17,8.95
2025.04.07 08:00:00,15015.22,15023.17,7.95
2025.04.07 12:00:00,15015.22,15025.55,10.33
2025.04.07 16:00:00,15015.22,15025.32,10.10
2025.04.07 20:00:00,15025.31,15025.31,0.00
2025.04.08 00:05:11,15025.31,15025.31,0.00
2025.04.08 04:00:00,15025.31,15025.31,0.00
2025.04.08 08:00:00,15025.31,15025.17,-0.14
2025.04.08 12:00:00,15025.15,15025.15,0.00
2025.04.08 16:00:00,15025.15,15025.15,0.00
2025.04.08 20:00:00,15025.15,15025.15,0.00
2025.04.09 00:05:02,15025.15,15025.15,0.00
2025.04.09 04:00:00,15025.15,15025.15,0.00
2025.04.09 08:00:00,15025.15,15025.15,0.00
2025.04.09 12:00:00,15025.15,15025.15,0.00
2025.04.09 16:00:00,15025.15,15025.15,0.00
2025.04.09 20:00:00,15025.15,15025.15,0.00
2025.04.10 00:05:07,15025.15,15025.15,0.00
2025.04.10 04:00:00,15025.15,15025.15,0.00
2025.04.10 08:00:00,15025.15,15025.15,0.00
2025.04.10 12:00:00,15025.15,15025.15,0.00
2025.04.10 16:00:00,15025.15,15025.15,0.00
2025.04.10 20:00:00,15025.15,15025.15,0.00
2025.04.11 00:05:19,15025.15,15025.15,0.00
2025.04.11 04:00:00,15025.15,15025.15,0.00
2025.04.11 08:00:00,15025.15,15025.15,0.00
2025.04.11 12:00:00,15025.15,15025.15,0.00
2025.04.11 16:00:00,15025.15,15025.15,0.00
2025.04.11 20:00:00,15025.15,15025.15,0.00
2025.04.14 00:05:26,15025.15,15025.15,0.00
2025.04.14 04:00:00,15025.15,15025.15,0.00
2025.04.14 08:00:00,15025.15,15025.15,0.00
2025.04.14 12:00:00,15025.15,15025.15,0.00
2025.04.14 16:00:00,15025.15,15024.98,-0.17
2025.04.14 20:00:00,15025.15,15026.56,1.41
2025.04.15 00:05:37,15025.15,15023.94,-1.21
2025.04.15 04:00:00,15025.15,15025.92,0.77
2025.04.15 08:00:00,15025.15,15023.06,-2.09
2025.04.15 12:00:00,15025.15,15023.12,-2.03
2025.04.15 16:00:00,15025.15,15026.33,1.18
