time,balance
2025-03-01T00:00:00,15000.0
2025-03-03T20:00:00,15000.0
2025-03-04T00:05:14,15004.21
2025-03-05T00:05:00,15004.21
2025-03-05T04:00:00,15005.01
2025-03-12T20:00:00,15005.01
2025-03-14T08:00:00,15007.29
2025-03-28T20:00:00,15007.29
2025-03-31T00:05:06,15007.64
2025-03-31T20:00:00,15007.64
2025-04-02T20:00:00,15007.64
2025-04-04T20:00:00,15007.64
2025-04-14T16:00:00,15007.64
2025-04-14T16:00:00,15007.64
2025-04-17T12:00:00,15007.64
2025-04-17T12:00:00,15007.64
2025-04-22T04:00:00,15007.64
2025-04-22T04:00:00,15007.64
2025-04-23T04:00:00,15033.0
2025-04-23T04:00:00,15024.36
2025-04-23T04:00:00,15013.22
2025-04-30T12:00:00,15013.22
2025-04-30T12:00:00,15013.22
2025-05-01T00:05:40,15013.46
2025-05-01T08:00:00,15060.39
2025-05-01T08:00:00,15187.47
2025-05-01T08:00:00,15230.32
2025-05-01T08:00:00,15237.61
2025-05-01T08:00:00,15180.14
2025-05-01T08:00:00,15093.67
2025-05-01T08:00:00,15052.65
2025-05-02T12:00:00,15052.65
2025-05-02T20:00:00,15053.6
2025-05-13T04:00:00,15053.6
2025-05-14T16:00:00,15064.42
2025-05-22T20:00:00,15064.42
2025-05-26T12:00:00,15064.42
2025-05-27T16:00:01,15079.87
2025-05-27T16:00:01,15079.84
2025-05-29T16:00:00,15079.84
2025-05-30T00:09:02,15080.95
2025-06-03T16:00:00,15080.95
2025-06-04T08:00:01,15086.61
2025-06-09T08:00:00,15086.61
2025-06-12T04:00:00,15088.1
2025-06-13T08:00:00,15088.1
2025-06-16T04:00:00,15093.0
2025-06-23T20:00:00,15093.0
2025-06-24T04:00:00,15097.95
2025-06-27T20:00:00,15097.95
2025-06-30T16:00:00,15097.95
2025-07-03T16:00:00,15105.44
2025-07-03T16:00:00,15107.95
2025-07-09T12:00:00,15107.95
2025-07-15T08:00:00,15107.95
2025-07-16T20:00:00,15107.95
2025-07-21T08:00:03,15107.95
2025-07-21T16:00:00,15133.31
2025-07-21T16:00:00,15142.01
2025-07-21T16:00:00,15142.42
2025-07-21T16:00:00,15135.07
2025-07-23T08:00:01,15135.07
2025-07-25T12:00:00,15140.55
2025-07-30T04:00:00,15140.55
2025-08-01T16:00:00,15140.55
2025-08-01T20:00:00,15151.24
2025-08-01T20:00:00,15152.12
2025-08-05T16:00:00,15152.12
2025-08-11T16:00:00,15152.12
2025-08-11T16:00:00,15153.12
2025-08-12T16:00:00,15153.12
2025-08-12T20:00:00,15157.3
2025-08-12T20:00:00,15157.69
2025-08-13T04:00:00,15157.69
2025-08-13T12:00:00,15161.2
2025-08-14T16:00:00,15161.2
2025-08-14T20:00:00,15167.13
2025-08-25T20:00:00,15167.13
2025-08-26T00:05:21,15168.08
2025-08-28T04:00:00,15168.08
2025-08-28T08:00:00,15168.86
2025-08-29T16:00:00,15168.86
2025-09-02T08:00:00,15171.53
2025-09-03T08:00:00,15171.53
2025-09-04T08:00:10,15173.34
2025-09-09T20:00:01,15173.34
2025-09-11T16:00:00,15175.01
2025-09-18T04:00:00,15175.01
2025-09-18T12:00:00,15178.39
2025-09-26T20:00:00,15178.39
2025-09-29T12:00:06,15185.02
2025-10-02T16:00:00,15185.02
2025-10-06T04:00:00,15201.89
2025-10-09T08:00:00,15201.89
2025-10-13T00:05:00,15205.01
2025-10-17T16:00:00,15205.01
2025-10-21T12:00:00,15213.02
2025-11-04T08:00:00,15213.02
2025-11-04T12:00:00,15214.52
2025-11-07T12:00:00,15214.52
2025-11-10T04:00:01,15216.6
2025-11-12T12:00:00,15216.6
2025-11-13T12:00:00,15216.6
2025-11-13T20:00:05,15217.82
2025-11-17T16:00:00,15217.82
2025-11-17T20:00:00,15221.04
2025-11-17T20:00:00,15223.04
2025-11-21T08:00:00,15223.04
2025-11-25T12:00:00,15228.54
2025-11-27T04:00:00,15228.54
2025-12-02T04:00:00,15228.54
2025-12-09T00:05:00,15231.17
2025-12-09T00:05:00,15229.82
2025-12-10T16:00:00,15229.82
2025-12-11T00:06:30,15232.32
2025-12-12T12:00:00,15232.32
2025-12-12T16:00:00,15233.19
2025-12-17T08:00:00,15233.19
2025-12-18T00:05:02,15236.07
2025-12-22T16:00:00,15236.07
2025-12-23T08:00:01,15243.34
2026-01-05T12:00:00,15243.34
2026-01-05T16:00:00,15243.87
2026-01-14T12:00:00,15243.87
2026-01-16T08:00:03,15245.64
2026-01-20T04:00:00,15245.64
2026-01-21T00:05:04,15246.66
2026-01-28T16:00:00,15246.66
2026-01-30T20:00:00,15256.97
2026-02-05T16:00:00,15256.97
2026-02-09T16:00:00,15260.85
2026-02-11T16:00:00,15260.85
2026-02-18T16:00:00,15260.85
2026-02-18T20:00:00,15268.21
2026-02-18T20:00:00,15272.75
2026-02-19T12:00:00,15272.75
2026-02-23T04:00:00,15276.19
2026-02-24T04:00:00,15276.19
2026-02-24T08:00:00,15277.29
