time,balance
2025-03-01T00:00:00,15000.0
2025-03-05T04:00:00,15000.0
2025-03-06T08:00:00,15004.22
2025-03-27T04:00:01,15004.22
2025-03-27T16:00:00,15005.66
2025-03-31T20:00:00,15005.66
2025-04-02T00:05:43,15007.83
2025-04-07T04:00:00,15007.83
2025-04-10T00:06:21,15017.0
2025-04-14T16:00:00,15017.0
2025-04-17T16:00:00,15017.0
2025-04-17T20:00:00,15025.04
2025-04-17T20:00:00,15024.26
2025-04-22T04:00:00,15024.26
2025-04-22T20:00:00,15031.56
2025-04-24T16:00:00,15031.56
2025-04-28T20:00:00,15034.59
2025-05-09T04:00:00,15034.59
2025-05-12T04:00:00,15036.37
2025-05-13T12:00:00,15036.37
2025-05-15T12:00:00,15038.2
2025-05-16T16:00:00,15038.2
2025-05-20T16:00:00,15038.2
2025-05-21T20:00:00,15038.2
2025-05-23T16:00:00,15038.2
2025-05-26T00:12:56,15038.37
2025-05-26T16:00:05,15046.61
2025-05-26T16:00:05,15047.91
2025-05-26T16:00:05,15047.48
2025-05-30T20:00:00,15047.48
2025-06-02T00:10:36,15047.79
2025-06-02T20:00:00,15047.79
2025-06-02T20:00:01,15047.57
2025-06-05T16:00:00,15047.57
2025-06-06T16:00:00,15048.79
2025-06-13T12:00:00,15048.79
2025-06-17T00:06:49,15051.62
2025-06-20T08:00:03,15051.62
2025-06-26T16:00:00,15051.62
2025-07-02T12:00:00,15051.62
2025-07-03T16:00:00,15069.87
2025-07-03T16:00:00,15070.45
2025-07-03T16:00:00,15056.88
2025-07-10T12:00:00,15056.88
2025-07-14T12:00:03,15058.18
2025-07-17T12:00:00,15058.18
2025-07-18T04:00:01,15057.93
2025-07-23T04:00:00,15057.93
2025-07-24T16:00:00,15058.81
2025-07-30T04:00:00,15058.81
2025-07-30T12:00:00,15058.97
2025-08-04T12:00:00,15058.97
2025-08-04T12:00:01,15058.8
2025-08-14T04:00:00,15058.8
2025-08-19T12:00:00,15058.8
2025-08-19T12:00:02,15058.58
2025-08-21T20:00:00,15058.58
2025-08-25T20:00:00,15058.58
2025-08-27T16:00:01,15058.58
2025-08-28T16:00:02,15060.43
2025-08-29T04:00:08,15068.38
2025-08-29T04:00:08,15073.09
2025-08-29T04:00:08,15070.78
2025-09-09T16:00:00,15070.78
2025-09-11T20:00:00,15070.78
2025-09-16T00:05:00,15072.31
2025-09-16T12:00:00,15072.31
2025-09-16T20:00:00,15079.15
2025-09-16T20:00:00,15082.79
2025-09-18T08:00:00,15082.79
2025-09-18T20:00:02,15083.23
2025-10-06T04:00:00,15083.23
2025-10-06T12:00:00,15085.27
2025-10-07T12:00:00,15085.27
2025-10-08T08:00:16,15087.5
2025-10-10T12:00:03,15087.5
2025-10-10T20:00:00,15090.32
2025-10-17T16:00:00,15090.32
2025-10-21T20:00:00,15094.63
2025-10-31T04:00:00,15094.63
2025-11-04T16:00:00,15094.63
2025-11-05T04:00:00,15097.07
2025-11-05T04:00:00,15096.99
2025-11-07T12:00:05,15096.99
2025-11-10T04:00:05,15099.53
2025-11-13T08:00:00,15099.53
2025-11-14T20:00:00,15099.53
2025-11-18T20:00:00,15114.36
2025-11-18T20:00:00,15116.29
2025-12-09T04:00:00,15116.29
2025-12-10T20:00:00,15118.65
2025-12-12T04:00:09,15118.65
2025-12-17T12:00:00,15121.18
2026-01-02T10:00:00,15121.18
2026-01-02T16:00:00,15123.3
2026-01-07T16:00:00,15123.3
2026-01-08T20:00:00,15123.3
2026-01-13T16:00:00,15123.3
2026-01-14T12:00:00,15129.58
2026-01-14T12:00:00,15131.48
2026-01-14T12:00:00,15132.05
2026-01-15T20:00:00,15132.05
2026-01-21T12:00:00,15132.05
2026-01-21T12:00:00,15132.05
2026-01-22T00:05:10,15134.32
2026-01-22T20:00:00,15134.32
2026-01-22T20:00:01,15134.1
2026-01-28T04:00:01,15134.1
2026-02-02T16:00:00,15162.07
2026-02-02T16:00:00,15154.85
2026-02-02T16:00:00,15144.85
2026-02-09T12:00:00,15144.85
2026-02-09T12:00:00,15144.6
2026-02-10T20:00:00,15144.6
2026-02-11T16:00:00,15145.27
2026-02-17T20:00:00,15145.27
2026-02-19T12:00:00,15145.27
2026-02-19T16:00:02,15146.41
2026-02-19T16:00:02,15147.71
2026-02-27T16:00:00,15147.71
2026-02-27T16:00:00,15147.48
