Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
17,15336.69,336.69,4.056506,2.306469,1.528672,1.141563,208.38999999999942,1.4388,83,36,2.05
45,15333.34,333.34,4.386053,3.105749,1.524258,1.756433,187.6299999999992,1.4461,76,31,2.20
103,15333.31,333.31,4.565890,2.494932,1.513326,1.204295,208.38999999999942,1.4413,73,34,2.45
20,15326.06,326.06,4.234545,3.030135,1.691358,1.805662,181.95999999999913,1.2758,77,39,2.05
9,15326.06,326.06,4.234545,3.030135,1.691358,1.805662,181.95999999999913,1.2758,77,39,2.00
42,15324.44,324.44,4.268947,3.020049,1.682955,1.799068,181.95999999999913,1.2758,76,39,2.15
31,15324.44,324.44,4.268947,3.020049,1.682955,1.799068,181.95999999999913,1.2758,76,39,2.10
53,15324.40,324.40,4.383784,3.021814,1.682747,1.800171,181.95999999999913,1.2758,74,39,2.20
113,15324.19,324.19,4.631286,2.498244,1.471918,1.199113,208.38999999999942,1.4421,70,33,2.50
102,15324.19,324.19,4.631286,2.498244,1.471918,1.199113,208.38999999999942,1.4421,70,33,2.45
91,15324.19,324.19,4.631286,2.498244,1.471918,1.199113,208.38999999999942,1.4421,70,33,2.40
86,15323.86,323.86,4.498056,3.068468,1.679946,1.810837,181.95999999999913,1.2758,72,39,2.35
56,15323.30,323.30,4.368919,3.011323,1.470214,1.710987,187.6299999999992,1.4541,74,31,2.25
115,15321.93,321.93,4.665652,2.459338,1.461657,1.164415,208.38999999999942,1.4423,69,35,2.50
75,15321.80,321.80,4.408219,3.005609,1.669260,1.789361,181.95999999999913,1.2758,73,39,2.30
64,15321.80,321.80,4.408219,3.005609,1.669260,1.789361,181.95999999999913,1.2758,73,39,2.25
67,15321.19,321.19,4.460972,3.045405,1.460618,1.727226,187.6299999999992,1.4541,72,31,2.30
0,15320.21,320.21,4.002625,2.996197,1.464219,1.754892,187.6299999999992,1.4466,80,30,2.00
11,15318.30,318.30,4.080769,3.006050,1.455485,1.742557,187.6299999999992,1.4466,78,30,2.05
22,15315.76,315.76,4.100779,2.990042,1.443870,1.729996,187.6299999999992,1.4466,77,30,2.10
78,15315.46,315.46,4.571884,3.131198,1.613689,1.809973,187.63000000000102,1.3009,69,31,2.35
114,15313.39,313.39,4.477000,2.496824,1.422883,1.181476,208.39000000000124,1.4431,70,34,2.50
33,15313.16,313.16,4.120526,2.973656,1.431981,1.719377,187.6299999999992,1.4466,76,30,2.15
111,15312.30,312.30,4.592647,3.109850,1.597524,1.806447,187.63000000000102,1.3009,68,31,2.50
100,15312.30,312.30,4.592647,3.109850,1.597524,1.806447,187.63000000000102,1.3009,68,31,2.45
89,15312.30,312.30,4.592647,3.109850,1.597524,1.806447,187.63000000000102,1.3009,68,31,2.40
44,15308.96,308.96,4.175135,2.949151,1.412776,1.698463,187.63000000000102,1.4470,74,30,2.20
24,15306.16,306.16,3.976104,3.197531,1.394171,1.739883,181.96000000000095,1.4525,77,32,2.10
13,15306.16,306.16,3.976104,3.197531,1.394171,1.739883,181.96000000000095,1.4525,77,32,2.05
97,15305.56,305.56,4.428406,2.951587,1.534706,1.743406,181.95999999999913,1.3176,69,39,2.40
55,15301.31,301.31,4.127534,2.870561,1.370214,1.655185,187.63000000000102,1.4550,73,30,2.25
108,15299.29,299.29,4.401324,2.911541,1.503214,1.708975,181.95999999999913,1.3176,68,39,2.45
119,15298.52,298.52,4.523030,2.906623,1.499347,1.729512,181.95999999999913,1.3176,66,39,2.50
110,15295.80,295.80,4.481818,2.998379,1.513121,1.772422,187.63000000000102,1.3009,66,30,2.50
99,15295.80,295.80,4.481818,2.998379,1.513121,1.772422,187.63000000000102,1.3009,66,30,2.45
88,15295.80,295.80,4.481818,2.998379,1.513121,1.772422,187.63000000000102,1.3009,66,30,2.40
66,15295.55,295.55,4.346324,2.882124,1.344020,1.666344,187.63000000000102,1.4550,68,30,2.30
7,15293.64,293.64,3.670500,2.671163,1.523187,1.629355,181.95999999999913,1.2755,80,37,2.00
77,15292.39,292.39,4.364030,2.862001,1.310813,1.662563,187.63000000000102,1.4759,67,30,2.35
19,15290.24,290.24,3.769351,2.704186,1.505550,1.626537,181.95999999999913,1.2758,77,38,2.05
8,15290.24,290.24,3.769351,2.704186,1.505550,1.626537,181.95999999999913,1.2758,77,38,2.00
35,15289.94,289.94,3.971781,3.045288,1.313075,1.658302,181.95999999999913,1.4609,73,32,2.15
29,15289.28,289.28,3.661772,2.646349,1.500571,1.607027,181.96000000000095,1.2759,79,37,2.10
18,15289.28,289.28,3.661772,2.646349,1.500571,1.607027,181.96000000000095,1.2759,79,37,2.05
52,15288.78,288.78,3.850400,2.697208,1.497977,1.620470,181.95999999999913,1.2758,75,38,2.20
41,15288.62,288.62,3.797632,2.694674,1.497147,1.619572,181.95999999999913,1.2758,76,38,2.15
30,15288.62,288.62,3.797632,2.694674,1.497147,1.619572,181.95999999999913,1.2758,76,38,2.10
